tarih,hafta,uretim,OEE,saat,kayip_metre,gun,tecrube
2019-09-28,Hafta 39,81030,93,1.6,6129,6,1
2019-09-30,Hafta 40,68600,97,0.6,2268,1,1
2019-10-01,Hafta 40,65550,72,6.7,26313,2,0
2019-10-02,Hafta 40,87200,98,0.6,2258,3,1
2019-10-03,Hafta 40,82310,91,2.2,8765,4,1
2019-10-04,Hafta 40,67160,66,8.1,31590,5,1
2019-10-05,Hafta 40,40150,83,2.2,8470,6,0
2019-10-08,Hafta 41,20450,65,2.3,9108,2,1
2019-10-09,Hafta 41,79820,78,5.2,20334,3,1
2019-10-10,Hafta 41,83180,89,2.8,10752,4,0
2019-10-11,Hafta 41,86700,96,1,3792,5,0
2019-10-12,Hafta 41,72100,97,0.5,1939,6,0
2019-10-14,Hafta 42,22400,31,12.5,48740,1,1
2019-10-15,Hafta 42,86830,96,1.2,4801,2,1
2019-10-16,Hafta 42,87670,97,0.7,2556,3,0
2019-10-17,Hafta 42,87220,95,1.1,4403,4,1
2019-10-18,Hafta 42,84845,91,2.2,8592,5,1
2019-10-19,Hafta 42,86780,92,2,7696,6,1
2019-10-21,Hafta 43,86800,94,1.5,5962,1,0
2019-10-22,Hafta 43,87760,96,1,3768,2,0
2019-10-23,Hafta 43,87310,97,0.8,3084,3,0
2019-10-24,Hafta 43,87500,98,0.5,1860,4,0
2019-10-25,Hafta 43,85250,96,1.1,4100,5,0
2019-10-26,Hafta 43,70480,99,0.3,1126,6,0
2019-10-28,Hafta 44,17400,74,1.2,4873,1,0
2019-10-29,Hafta 44,70680,86,2.9,11366,2,1
2019-10-30,Hafta 44,59515,84,2.9,11164,3,1
2019-10-31,Hafta 44,86605,97,0.6,2505,4,0
2019-11-01,Hafta 44,85250,89,2.5,98446,5,1
2019-11-02,Hafta 44,54000,92,1.3,4880,6,1
2019-11-06,Hafta 45,20950,68,2.3,9164,3,0
2019-11-07,Hafta 45,85420,92,2,7660,4,1
2019-11-08,Hafta 45,85400,95,1.3,5061,5,1
2019-11-09,Hafta 45,77215,86,3.2,12602,6,1
2019-11-11,Hafta 46,79050,95,1.2,4535,1,1
2019-11-12,Hafta 46,86400,95,1.1,4421,2,1
2019-11-13,Hafta 46,28700,96,0.3,1129,3,1
